specimen,plant_name,country,fst_political,snd_political,locality,habitat,elevation,latitude_decimal,longitude_decimal,collector,collector_number,collection_date,specimen_data,MO,NY,F,US,UC,RSA,GH,L,K,E,GOET,BR,LIL,CORD,CTES,SP,RB,REU,ANDES,SPF,CONC,SI,MOLF,LPB,USZ
LF51,Escallonia ledifolia Sleumer,Brazil,Santa Catarina,Urubici,Morro da Cruz,"Alto do Morro, Arenito",1108,-27.8410277777778,-49.6488888888889,"L.H.M. Fonseca, F. Zapata, S.F. Alcântara",51,15-Mar-2008,Planta con hábito arbustivo de 50 cm.  Frutos imaturos (em álcool),1,,,,,,,,,,,,,,,,,,,1,,,,,
LF52,Escallonia ledifolia Sleumer,Brazil,Santa Catarina,Urubici,Morro da Cruz,"Alto do Morro, Arenito",1110,-27.8409722222222,-49.6488888888889,"L.H.M. Fonseca, F. Zapata, S.F. Alcântara",52,15-Mar-2008,Planta com frutos imaturos (em ácool),1,,,,,,,,,,,,,,,,,,,1,,,,,
LF53,Escallonia ledifolia Sleumer,Brazil,Santa Catarina,Urubici,Morro da Cruz,"Alto do Morro, Arenito",1109,-27.8410277777778,-49.6489444444444,"L.H.M. Fonseca, F. Zapata, S.F. Alcântara",53,15-Mar-2008,Planta com frutos imaturos (em ácool),1,,,,,,,,,,,,,,,,,,,1,,,,,
LF54,Escallonia ledifolia Sleumer,Brazil,Santa Catarina,Urubici,Morro da Cruz,"Alto do Morro, Arenito",1109,-27.8410277777778,-49.6489722222222,"L.H.M. Fonseca, F. Zapata, S.F. Alcântara",54,15-Mar-2008,Planta com frutos imaturos (em ácool),1,,,,,,,,,,,,,,,,,,,1,,,,,
LF55,Escallonia ledifolia Sleumer,Brazil,Santa Catarina,Urubici,Morro da Cruz,"Alto do Morro, Arenito",1109,-27.8410277777778,-49.6488888888889,"L.H.M. Fonseca, F. Zapata, S.F. Alcântara",55,15-Mar-2008,Planta com frutos imaturos (em ácool),1,,,,,,,,,,,,,,,,,,,1,,,,,
LF56,Escallonia ledifolia Sleumer,Brazil,Santa Catarina,Urubici,Morro da Cruz,"Alto do Morro, Arenito",1108,-27.8408333333333,-49.6488611111111,"L.H.M. Fonseca, F. Zapata, S.F. Alcântara",56,15-Mar-2008,Planta sem frutos (em álcool),1,,,,,,,,,,,,,,,,,,,1,,,,,
LF59,Escallonia ledifolia Sleumer,Brazil,Santa Catarina,Urubici,Morro da Cruz,"Alto do Morro, Arenito",1109,-27.8410277777778,-49.6489166666667,"L.H.M. Fonseca, F. Zapata, S.F. Alcântara",59,15-Mar-2008,Arbusto com 1.5 m. Com frutos,1,,,,,,,,,,,,,,,,,,,1,,,,,
LF60,Escallonia ledifolia Sleumer,Brazil,Santa Catarina,Urubici,Morro da Cruz,"Alto do Morro, Arenito",1109,-27.8408333333333,-49.6488611111111,"L.H.M. Fonseca, F. Zapata, S.F. Alcântara",60,15-Mar-2008,Arbusto com 50 cm. Frutos imaturos (em álcool),1,,,,,,,,,,,,,,,,,,,1,,,,,
RK4485,Escallonia ledifolia Sleumer,Brazil,Santa Catarina,Lages,Morro do Pinheiro Seco,Sobre rocas,950,-27.8541666666667,-50.2722222222222,R.M. Klein,4485,1-Nov-1963,"Subarbusto 0.3 m, flor encarnada",,,,,,,,1,,,,,,,,,,,,,,,,,
AC20422,Escallonia cordobensis (O. Kuntze) Hosseus,Argentina,Cordoba,,Pampa de Achala,,2200,-31.5830555555556,-64.8330555555555,"A.L. Cabrera, R. Kiesling",20422,18-Dec-1969,Arbusto flor blanca,,,,,,,,,1,,,,,,,,,,,,,,,,
AH10542,Escallonia cordobensis (O. Kuntze) Hosseus,Argentina,Córdoba,Punilla,"Sierra Grande, Rio Yuspe, en el cruce con ruta prov. 28, entre Los Gigantes y El Mirador",Frecuente en las fisuras rocosas,1650,-31.4336111111111,-64.8372222222222,A.T. Hunziker,10542,5-Jan-1955,"Arbusto de 1 a 2 mt de altura, corola blanca",1,,,,,,,,,,,,,,,,,,,,,,,,
AH23121,Escallonia cordobensis (O. Kuntze) Hosseus,Argentina,Cordoba,Punilla,"Sierra Grande, falda E, cuesta de Copina, unos 2 km arriba de Copina, en las inmediaciones del primer puente",,1500,-31.5655555555556,-64.7016666666667,A.T. Hunziker,23121,14-Dec-1978,,,,,,,,,,,,,,,1,,,,,,,,,,,
AH7240,Escallonia cordobensis (O. Kuntze) Hosseus,Argentina,Cordoba,Calamuchita,"Altos Pampa, Arroyito Sol de Mayo",Entre rocas a orillas de arroyito,1300,-31.9727777777778,-64.795,A.T. Hunziker,7240,16-Dec-1946,Arbusto muy ramificado de +/- 1.5 m de alt.  Corola blanca,1,1,1,,,,1,,1,,,,,1,,,,,,,,,,,
AH8793,Escallonia cordobensis (O. Kuntze) Hosseus,Argentina,Cordoba,Cruz del Eje,"Sierra Grande, al norte de Los Gigantes, El Mirador (Ruta Provincial 28)",,1800,-31.4638888888889,-64.6833333333333,A.T. Hunziker,8793,2-Feb-1951,,,,,,,,,,,,,,,1,,,,,,,,,,,
AH9671,Escallonia cordobensis (O. Kuntze) Hosseus,Argentina,Cordoba,Calamuchita,"Sierra Grande, cerro Champaqui (falda E, al pie)",,2400,-31.9786111111111,-64.93,A.T. Hunziker,9671,17-Jan-1952,"Corola blanca, poco frecuente. Detras de la casa de T. Dominguez",,,,,,,,,,,,,,1,,,,,,,,,,,
HGs.n.,Escallonia cordobensis (O. Kuntze) Hosseus,Argentina,San Luis,Canuto,Sierra del Potrero,Strauch in Gebirge,1000,-32.75,-66.0666666666667,H. Gerth,s.n.,1-Jan-1910,,,,,,,,,1,,,,,,,,,,,,,,,,,
JH3286,Escallonia cordobensis (O. Kuntze) Hosseus,Argentina,Cordoba,Punilla,"Near Capilla del Monte, path up Cerro Uritorco",Bushy stony slope,1680,-30.85,-64.5,"J.G. Hawkes, J.P. Hjerting, K. Rahn",3286,23-Jan-1966,"Shrub to 1.5 m, flowers white scent of vainilla",1,,,,,,,1,1,,,,,,,,,,,,,,,,
JS4070,Escallonia cordobensis (O. Kuntze) Hosseus,Argentina,Cordoba,,Between Cerro Blanco and La Hollada (Rancho Alegre); km 767 Ruta Nacional 20,Bank of stream,1300,-31.8333333333333,-64.25,J.C. Solomon,4070,12-Dec-1978,"Small tree +/- 5 m, floweers white",,,,,,,,,,,,,,,,,,,,,,,,,
TS10534,Escallonia cordobensis (O. Kuntze) Hosseus,Argentina,Cordoba,San Alberto,Mina Clavero,,1000,-31.7166666666667,-65,T. Stuckert,10534,12-Dec-1901,,,,,,,,,,,,,,,1,,,,,,,,,,,
TS21009,Escallonia cordobensis (O. Kuntze) Hosseus,Argentina,Cordoba,Cruz del Eje,"Estancia Pampa San Luis"", Quebrada Calderon",,1780,-31.2830555555556,-64.7666666666667,T. Stuckert,21009,20-Dec-1909,,,,,,,,,,,,,,,1,,,,,,,,,,,
AK42001,Escallonia megapotamica Spreng.,Brazil,Santa Catarina,Campo Belo do Sul,"7 km de Campo Belo do Sul, camino a Cerro Negro",Campo,990,-27.8577777777778,-50.8036111111111,"A. Krapovickas, C.L. Cristobal",42001,14-Jan-1988,"Arbusto 1-1.5 m alt., flores blancas fragantes",,,1,,,,,,1,,,,,,1,,,,,,,,,,
GH15362,Escallonia megapotamica Spreng.,Brazil,Parana,Rebouças,Rio Potinga,,800,-25.6080555555556,-50.6913888888889,G. Hatschbach,15362,11-Dec-1966,"Arbusto 2 m, flora alva, do vargedo",,1,1,1,,,,1,1,,,,,,,,,,,,,,,,
GS2702,Escallonia megapotamica Spreng.,Uruguay,Tacuarembó,,Camino de Gruta de los Cuervos hacia Tacuarembó,,149,-31.6622222222222,-56.0125,"G. Seijo, V. Solis Neffa, C. Peichoto, M. Sosa",2702,3-Dec-2001,Arbusto de flores blancas,,,,,,,,,,,,,,,1,,,,,,,,,,
HF72,Escallonia megapotamica Spreng.,Uruguay,Colonia,Riachuelo,,,67,-34.3533333333333,-57.6838888888889,H. Fabris & H. Gebhand,72,1-Oct-1949,,1,,,,,,,,,,,,,,,,,,,,,,,,
JI165,Escallonia megapotamica Spreng.,Argentina,Corrientes,Mercedes,"Arroyo medina, camino desde Ruta 23 a San Roquito",,60,-29.2666666666667,-57.5666666666667,"J. Irigoyen, A. Schinini",165,5-Jan-1975,"2-3 m altura, flores blancas",1,,,,,,,,,,,,,,1,,,,,,,,,,
JW1950,Escallonia megapotamica Spreng.,Brazil,Rio Grande do Sul,Esmeralda,Est.Eco.Araucari,,890,-28.0319444444444,-51.1769444444444,J.L. Waechter,1950,11-Oct-1982,"Arbusto com 1-2 m alt., flores aromáticas, cálice verde, corola branca",,,1,,,,,,,,,,,,,,,,,,,,,,
LF72,Escallonia megapotamica Spreng.,Brazil,Santa Catarina,Mafra,Estrada para Barracas,Em corrego,780,-26.0999722222222,-49.8250833333333,"L.H.M. Fonseca, F. Zapata, S.F. Alcântara",72,16-Mar-2008,Arbusto com 3 m. Estéril (em álcool),1,,,,,,,,,,,,,,,,,,,1,,,,,
LS367,Escallonia megapotamica Spreng.,Brazil,Rio Grande do Sul,Caxias do Sul,Vila seca,Campo,731,-29.1205555555556,-51.2441666666667,L. Scur,367,12-Jan-2000,,1,,,,,,,,,,,,,,,,,,,,,,,,
MS6428,Escallonia megapotamica Spreng.,Brazil,Rio Grande do Sul,Caçapava do Sul,Guaritas,Campo rupestre e matas de encosta,350,-30.5419444444444,-53.4763888888889,M. Sobral,6428,1-Jan-1990,"Arbusto 2 m, em beira de matal flores brancas",,,1,,,,,,,,,,,,,1,,,,,,,,,
RG5802,Escallonia megapotamica Spreng.,Uruguay,Florida,Arroyo Mansavillagra,"Estancia ""Rincón de Santa Elene"", Picada Castro",,100,-33.4327777777778,-55.8997222222222,R. Gallinal,5802,1-Nov-1946,Arbusto uliginoso 2 m alto,1,,,,,,1,,,,,,,,,,,,,,,,,,
RV3718,Escallonia megapotamica Spreng.,Argentina,Corrientes,Santo Tomé,"38 km N de Santo Tomé ruta 40, Ez ""Timbo""",Borde de arroyo,70,-28.4447222222222,-56.0191666666667,"R.O. Vanni, V. Maruñak",3718,4-Nov-1996,"Arbusto 2-2.5 m, Flores blancas, abundante",,1,,,,,,,,,,,,,,,,,,,,,,,
RW842,Escallonia megapotamica Spreng.,Brazil,Rio Grande do Sul,Jaquirana,,Em beira da estrada,900,-28.8994444444444,-50.3830555555556,R. Wasum,842,27-Dec-2000,,1,,,,,,,,,,,,,,,,,,,,,,,,
SR3089,Escallonia megapotamica Spreng.,Argentina,San Jose,San Jose,Escuela Agrotécnico Don Bosco,Grassland with mixed scrub forest mostly along river courses,170,-27.75,-55.7505555555556,"S.A. Renvoize, M. Wilmot-Dear, F. Zuloaga",3089,14-Oct-1978,"Shrub up to 3 m, branches erect, not spreading, flowers white",1,1,,,,,,,1,,,,,,,,,,,,,,,,
SR3711,Escallonia megapotamica Spreng.,Argentina,Corrientes,Mercedes,"Small river near town, on Ruta Nacional 14",Grassland and riverine scrub woodland,85,-29.1161111111111,-57.9202777777778,"S.A. Renvoize, M. Wilmot-Dear, F. Zuloaga",3711,2-Dec-1978,"Shrub up to 2.5 m, Flowers white",1,1,,,,,,,1,,,,,,,,,,,,,,,,
TP5371,Escallonia megapotamica Spreng.,Argentina,Corrientes,Mercedes,"Estancia ""Itá Caabó""",Swamp,70,-29.2833333333333,-57.7330555555556,T.M. Pedersen,5371,8-Feb-1960,"Shrub 1 m, flowers white. Swamp by the arroyo aguacero",1,1,,,1,,1,1,1,,,,,1,,,,,,,,,,,
BR49592,Escallonia megapotamica var. megapotamica Spreng.,Brazil,Santa Catarina,Lages,,In campestribus dumetosis,900,-27.85,-50.2166666666667,B. Rambo,49592,10-Jan-1951,"Ab E. sellowiana habitu erecto stricto, situ in campestribus siccis, foliis, inflorescentia bene distincta; in RGS satis frequens",,1,,1,,,,1,,,,,,,,,,,,,,,,,
IT20026,Escallonia megapotamica var. megapotamica Spreng.,Brazil,Rio Grande do Sul,Pelotas,Santo Amor,,240,-31.5666666666667,-52.6166666666667,I. Tedodro Luis,20026,7-Jan-1950,Paranthrophytia - Fruticetum,1,,,1,,,,,,,,,,,,,,,,,,,,,
PR14398,Escallonia megapotamica var. megapotamica Spreng.,Brazil,Santa Catarina,Campos Novos,Tupitinga,Campo,800,-27.5,-51.4666666666667,"P.R. Reitz, R. Klein",14398,21-Dec-1962,"Arvoreta 4 m, flor branca",,,,,,,,1,,,,,,,,,,,,,,,,,
AB5112,Escallonia megapotamica var. spiraeifolia (Cham. & Schltdl.) Sleumer,Argentina,Entre Rios,,Delta del Paraná: Rio Ceibo,,40,-32.2461111111111,-60.6080555555556,A. Burkart,5112,25-Nov-1932,,1,,,,,,1,,,,,,,,,,,,,,,,,,
AL2215,Escallonia megapotamica var. spiraeifolia (Cham. & Schltdl.) Sleumer,Brazil,Santa Catarina,Lages,Painel,Terreno humedo,1000,-27.8505555555556,-50.2172222222222,A. Lourteig,2215,15-Dec-1967,Flor blanca,,,,,,,,1,1,,,,,,,,,,,,,,,,
ARs.n.,Escallonia megapotamica var. spiraeifolia (Cham. & Schltdl.) Sleumer,Brazil,Minas Gerais,Caldas,,,900,-21.9333333333333,-46.4166666666667,A.F. Regnell,s.n.,,,,1,,1,,,1,,1,,1,1,,,,,,,,,,,,,
BR49366,Escallonia megapotamica var. spiraeifolia (Cham. & Schltdl.) Sleumer,Brazil,Rio Grande do Sul,Taimbesinho,Sao Franciso de Paula,Ad rivum in dumetosis,880,-29.4497222222222,-50.5827777777778,B. Rambo,49366,18-Dec-1950,"Frutex usque 4-metralis, diffuse ramosus, smper ad rivos; praeterea foliis, inflorescentia, toto denique habitu ab E. vaccinioide perbene distinctus",,,,1,,,,1,,,,,,,,,,,,,,,,,
CK42,Escallonia megapotamica var. spiraeifolia (Cham. & Schltdl.) Sleumer,Brazil,Parana,União da Vitoria,Rio Vermelho,Orla da mata de galeria,800,-26.2138888888889,-51.0977777777778,C. Coczicki,42,27-Dec-1967,Arbusto 2 m flor branca,,,1,,1,,,1,,,,,,,,,,,,,,,,,
H1015,Escallonia megapotamica var. spiraeifolia (Cham. & Schltdl.) Sleumer,Uruguay,Rio Negro,San Javier,,Riparian aren. Humid soli exp.,50,-32.6827777777778,-58.1333333333333,Herter,1015,1-Nov-1927,"Arbusto 2 m, flor alba",1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,
LF75,Escallonia megapotamica Spreng.,Brazil,Paraná,São Mateus do Sul,Beira do Rio Iguaçu,Mata ciliar impactada,761,-25.8781944444444,-50.3788611111111,"L.H.M. Fonseca, F. Zapata, S.F. Alcântara",75,17-Mar-2008,Arbusto de 1.5 m. Frutos marrons.  Folhas atacadas por larvas. Peciolo vermelho,1,,,,,,,,,,,,,,,,,,,1,,,,,
LL3886,Escallonia megapotamica var. spiraeifolia (Cham. & Schltdl.) Sleumer,Brazil,Parana,Mandirituba,Cachoeira and surroundings to rio Barigui,Disturbed Araucaria Forests and campos,900,-25.75,-49.25,L.R. Landrum,3886,30-Nov-1981,"Shrub in disturbed forest field, flowers white",1,1,,1,,,,1,,,,,,,,,,,,,,,,,
LS293,Escallonia megapotamica var. spiraeifolia (Cham. & Schltdl.) Sleumer,Brazil,Parana,Teixeira Soares,Entre Teixeira Soares e Irati,Beira da estrada,800,-25.4280555555556,-50.5197222222222,"L.R.M. Souza, E.M. Frnacisco",293,3-Dec-1996,"Arbusto 2 m alto, botões florais brnacas",,,,,,,,,1,,,,,,,,,,,,,,,,
NT2455,Escallonia megapotamica var. spiraeifolia (Cham. & Schltdl.) Sleumer,Argentina,Entre Ríos,Concordia,"Camino a Puerto Yura, desvío a Nueva Escocia",,30,-31.5608333333333,-58.175,"N. Troncoso, N. Bacigalupo, E. Nicora",2455,10-Nov-1978,"Arbusto 2 m, flores blancas, abundante",1,1,,,,,,,,,,,,,,,,,,,,,,,
TP15595,Escallonia megapotamica var. spiraeifolia (Cham. & Schltdl.) Sleumer,Argentina,Corrientes,Paso de los Libres,"Estancia ""Tres Cerros"", near Bonpland",Low probable floodable ground by a little stream,80,-29.0680555555556,-57.35,T.M. Pedersen,15595,19-Nov-1990,"Shrub  1.5 m, flowers whitish",1,1,1,,,,,,,,,,,,,,,,,,,,,,
AC1193,Escallonia hypoglauca Herzog,Bolivia,Chuquisaca,Tomina,Porto Suelos.  Ca. 10 Km saliendo de El Villar hacia Alcala,"Ladera rocosa con restos de bosque Boliviano-Tucumano, presencia de Podocarpus parlatorei, Polylepis sp y Alnus acuminata",2552,-19.5666666666667,-64.3172222222222,"A. Carretero, R. Lozano, J. Hurtado",1193,8-Jan-2004,"Arbol de 3 m de altura, haz lustrosas, enves con puntos brillantes, petalos blanco",1,,,,,,,,,,,,,,,,,,,,,,,,
CD3771,Escallonia hypoglauca Herzog,Bolivia,Cochabamba,Epizana,23.9 KM E of Epizana on Carretera Fundamental 4,"Steep, rocky hillside",2900,-17.5877777777778,-65.2666666666667,C. Davidson,3771,5-Dec-1975,Shrub to 2 m.  Flowers white with red tinge,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,
DS152,Escallonia hypoglauca Herzog,Bolivia,Santa Cruz,Manuel Maria Caballero,Siberia,"Bosque humedo nublado, alrededor de la laguna con Ericaceaes y varias epifitas",2750,-17.8405555555556,-64.7394444444444,"D. Soto, A. Carrasco, E. Calzadilla, L. Arroyo, R. Ledezma, C. Roth, D. Rocabado",152,10-Apr-2004,Arbusto de 5 metros de altura con flores color blanca,1,,,,,,,,,,,,,,,,,,,,,,,,
EF3538,Escallonia hypoglauca Herzog,Bolivia,Cochabamba,Carrasco,Siberia,Bosques relictuales con algunas especies esparcidas de Prumnopitys exigua y Polylepis tomentella,2900,-17.8030555555556,-64.77,"E. Fernandez, A. Barrancos, G. Flores, J. Altamirano, H. Vilca",3538,16-Apr-2005,"Arbol de 5 m, inflorescencia de color rosado fucsia, en forma de racimo, caliz persitente",1,,,,,,,,,,,,,,,,,,,,,,,,
FZ10434A,Escallonia hypoglauca Herzog,Bolivia,Tarija,Tarija,"Ruta entre Tarija e Iscayachi, cordillera de Sama",,3398,-21.4669444444444,-64.8880555555556,"F. Zuloaga, L. Aagesen, S. Sede, F. Zapata",10434A,25-Feb-2008,"Arbusto, flor blanca",1,,,,,,,,,,,,,,,,,,,,,1,,,
FZ280,Escallonia hypoglauca Herzog,Bolivia,Cochabamba,Mizque,Cerca a Yacupartico,"Transición de bosque seco a bosque húmedo.  Creciendo en parte más húmeda a orillas de una quebrada (seca en invierno).  Crece con Calceolaria, Fuchsia, Ericaceae.",3352,-17.7920833333333,-65.4875,"F. Zapata, F. Huanca",280,25-Jul-2007,"Arbusto 1 m; hojas con vena principal rojiza.  Las hojas son tipo Escallonia (venación, márgenes), pero sin flore ni frutos es difícil esta seguro.  Además las hojas están atacadas fuertemente por herbívoros.  Solamente se encontraron 2 individuos…época muy seca!!",1,,,,,,,,,,,,,,,,,,,,,,,,
FZ281,Escallonia hypoglauca Herzog,Bolivia,Cochabamba,Mizque,Cerca a Yacupartico,"Transición de bosque seco a bosque húmedo.  Creciendo en parte más húmeda a orillas de una quebrada (seca en invierno).  Crece con Calceolaria, Fuchsia, Ericaceae.",3352,-17.7920833333333,-65.4875,"F. Zapata, F. Huanca",281,25-Jul-2007,"Arbusto 1 m; hojas con vena principal rojiza.  Las hojas son tipo Escallonia (venación, márgenes), pero sin flore ni frutos es difícil esta seguro.  Además las hojas están atacadas fuertemente por herbívoros.  Solamente se encontraron 2 individuos…época muy seca!!",1,,,,,,,,,,,,,,,,,,,,,,,,
FZ304,Escallonia hypoglauca Herzog,Bolivia,Santa Cruz,Manuel Maria Caballero,"Carretera Comarapa-Siberia, ca. 2-3 antes de Siberia","Bosque de niebla, suelo muy húmedo con briófitos cubriendo el suelo.  Creciendo en un cañón muy empinado (ca. 70º) acompañado de Weinmannia, Ericaceae, Asteraceae, Symplocaceae.",2843,-17.8285277777778,-64.7185,"F. Zapata, F. Huanca",304,28-Jul-2007,"Arbol 4 m, tronco con abundantes epífitas (líquenes y briófitos), madera jóven rojiza; hojas de color verde muy oscuro en el envés (diferente a otras especies de Escallonia); inflorecencia comprimida, cáliz morado oscuro con lóbulos verdes, pétalos rosado fuerte (como en Escallonia rubra de Chile-Argentina).",1,,,,,,,,,,,,,,,,,,,,,,,,
FZ305,Escallonia hypoglauca Herzog,Bolivia,Santa Cruz,Manuel Maria Caballero,"Carretera Comarapa-Siberia, ca. 2-3 antes de Siberia","Bosque de niebla, suelo muy húmedo con briófitos cubriendo el suelo.  Creciendo en un cañón muy empinado (ca. 70º) acompañado de Weinmannia, Ericaceae, Asteraceae, Symplocaceae.",2846,-17.8304166666667,-64.7186944444445,"F. Zapata, F. Huanca",305,28-Jul-2007,Arbol 3.5 m; frutos viejos.,1,,,,,,,,,,,,,,,,,,,,,,,,
FZ306,Escallonia hypoglauca Herzog,Bolivia,Santa Cruz,Manuel Maria Caballero,"Carretera Comarapa-Siberia, ca. 2-3 antes de Siberia","Bosque de niebla, suelo muy húmedo con briófitos cubriendo el suelo.  Creciendo en un cañón muy empinado (ca. 70º) acompañado de Weinmannia, Ericaceae, Asteraceae, Symplocaceae.",2850,-17.8304166666667,-64.7186944444445,"F. Zapata, F. Huanca",306,28-Jul-2007,Arbol 3.5 m; botones rosados.,1,,,,,,,,,,,,,,,,,,,,,,,,
FZ307,Escallonia hypoglauca Herzog,Bolivia,Santa Cruz,Manuel Maria Caballero,"Carretera Comarapa-Siberia, ca. 2-3 antes de Siberia","Bosque de niebla, suelo muy húmedo con briófitos cubriendo el suelo.  Creciendo en un cañón borde de camino y en cañones por donde hay quebradas (secas en invierno); acompañado de Weinmannia, Ericaceae, Asteraceae, Symplocaceae.",2928,-17.8368611111111,-64.7267777777778,"F. Zapata, F. Huanca",307,28-Jul-2007,"Arbol 3 m.  Relativamente común en este sitio, pocos individuos en flor.",1,,,,,,,,,,,,,,,,,,,,,,,,
FZ308,Escallonia hypoglauca Herzog,Bolivia,Santa Cruz,Manuel Maria Caballero,"Carretera Comarapa-Siberia, ca. 2-3 antes de Siberia","Bosque de niebla, suelo muy húmedo con briófitos cubriendo el suelo.  Creciendo en un cañón borde de camino y en cañones por donde hay quebradas (secas en invierno); acompañado de Weinmannia, Ericaceae, Asteraceae, Symplocaceae.",2928,-17.8368611111111,-64.7267777777778,"F. Zapata, F. Huanca",308,28-Jul-2007,Arbol 3 m; frutos viejos.  Relativamente común en este sitio.,1,,,,,,,,,,,,,,,,,,,,,,,,
HF5850,Escallonia hypoglauca Herzog,Argentina,Jujuy,Valle Grande,"Serrania de Calilegua, Cerro Hermoso",Ladera,2800,-23.4513888888889,-65.465,"H.A. Fabris, J. Crisci, B. Petriella",5850,17-Feb-1965,,,,,,,,,,,,,,1,,,,,,,,,,,,
HS3739,Escallonia hypoglauca Herzog,Argentina,Salta,Santa Victoria,Arriba de Rodeopampa camino a Lizoite,Orilla de arroyos (siempre),3300,-22.2652777777778,-65.0677777777778,H. Sleumer,3739,3-Feb-1953,"Arbusto grande 2-4 m, flor blanca. Con frutos",,,,,,,,1,,,,,,,,,,,,,,,,,
JG587,Escallonia hypoglauca Herzog,Bolivia,Chuquisaca,Sud Cinti,"Puca Pampa, Aproximadamente a 6.5 km de Puesto ganadero, al SW","Algunos individuos de Podocarpus abajo, en quebrada rocosa muy humeda con presencia de Polylepis, Alnus, Brachyotum",2710,-20.7546111111111,-64.5442777777778,J. Gutierrez,587,12-Feb-2004,"Arbolito de 2.5 m, flores actinomorfas dialipetalas 5-6 petalos apicalmente de color blanco",1,,,,,,,,,,,,,,,,,,,,,,,,
JT229,Escallonia hypoglauca Herzog,Bolivia,Cochabamba,Carrasco,Siberia,"Bosque montano humedo, pendiente de 30 de inclinacion",2969,-17.8366666666667,-64.7347222222222,"J. Teran, N. Altamirano",229,19-Feb-2005,"Arbol 3 m, con flores rosadas",1,,,,,,,,,,,,,,,,,,,,,,,,
JW10607,Escallonia hypoglauca Herzog,Bolivia,Santa Cruz,Vallegrande,19 km from Vallegrande on the road to Masucuri,Steep sandstone hillsides with rough grasslands; scrub in gullies and on steeper slopes.  In dense srub relics on steeper slopes,2300,-18.5855555555556,-64.0394444444444,J.R.I. Wood,10607,11-Feb-1996,Scattered bushes. Shrub 2-4 m in height. Leaves green. Corolla white,,,,,,,,,1,,,,,,,,,,,,,,,,
JW8943,Escallonia hypoglauca Herzog,Bolivia,Cochabamba,Arque,c. Km 70 from Cochabamba to Oruro,Steep cliff slope with Ribes and other low shrubs in open stony mountain country,3500,-17.8,-66.4166666666667,J.R.I. Wood,8943,15-Dec-1994,"Small shrub 50-80 cm high.  Leaves green, corrola white, flowers slightly pendent",,,,,,,,,1,,,,,,,,,,,,,,,,
JW9552,Escallonia hypoglauca Herzog,Bolivia,Tarija,Iscayachi,On the escarpment west of Tarija on the road to Iscayachi,In a gully on the ope mountain side with rough scrubby grassland,3300,-21.4661111111111,-64.8852777777778,J.R.I. Wood,9552,28-Feb-1995,"Shrub c 1 m high, leaves dark green, petals white clawed",,,,,,,,,1,,,,,,,,,,,,,,,,
KF2441,Escallonia hypoglauca Herzog,Bolivia,Tarija,Tucumilla,,,2800,-21.4638888888889,-64.8558333333333,K. Fiebrig,2441,10-Dec-1903,,,,,1,,,1,,1,,1,,,,,,,,,,,,,,
MC6241,Escallonia hypoglauca Herzog,Bolivia,Cochabamba,Arani,"Kehuina Kasa, Camino de Arani a Mizque",Quebradas humedas,2900,-17.6291666666667,-65.7277777777778,M. Cardenas,6241,1-Feb-1966,"Tree 2-3 m altura, flores blancas",,1,,,,,,,,,,,,,,,,,,,,,,,
MN33903,Escallonia hypoglauca Herzog,Bolivia,Santa Cruz,Vallegrande,"10 Km (b air) SSE of Villagrande, on road from Guadalupe to Piraimiri","Brushy hillsides, grazed, Myrica pubescens, Vallea stipularis",2200,-18.5666666666667,-64.05,"M. Nee, G. Combra & P. Aguilar",33903,31-Jan-1987,"Shrub 2.5 m tall, flowers apparenlty odorless, corolla white",1,,,,,,,,,,,,,,,,,,,,,,,,
MS5081,Escallonia hypoglauca Herzog,Bolivia,Tarija,Arce,"Padcaya, Reserva Nacional de Flora y Fauna Tariquia.  Subiendo del campamento potreros hacia el pie de La Escalera, exposicion Este","Bosque humedo montano de Alnus acuminata y Polylepis en las laderas, ocasional Crinodendron tucumanum.  Piso montano Tucumano-Boliviano",2396,-22.01,-64.5947222222222,"M. Serrano, S. Churchil, J. Villalobos, E. Portal, R. Leon",5081,12-Nov-2004,Arbusto de 2 m. Flores de petalos blancos. Algunos frutos viejos,1,,,,,,,,,,,,,,,,,,,,,,,,
SV9001,Escallonia hypoglauca Herzog,Argentina,Jujuy,Tumbaya,Volcan,En una quebrada,2500,-23.7166666666667,-65.6666666666667,S. Venturi,9001,13-Feb-1927,"2 m altura, flor blanca. Arbusto grueso",,,,1,,,,,,,,,,,,,,,,,,,,,
AH22218,Escallonia tucumanensis Hosseus,Argentina,Catamarca,Ambato,"Sierra de Ambato (Falda E), subiendo desde El Rodeo hacia el Cerro Manchado, en las inmediaciones de Los Caserones",,2800,-28.2291666666667,-65.9527777777778,"A.T. Hunziker, R. Subilis",22218,14-Jan-1973,,1,1,,,,,,,,,,,,1,,,,,,,,,,,
FB6142,Escallonia tucumanensis Hosseus,Bolivia,Tarija,Tarija,"1 km en aval de Narvaez, route tarija-Entre Rios","Quebrada, sous-bois",1600,-21.4,-64.2666666666667,"F. Billiet, B. Jadin",6142,8-Nov-1993,Grande fleur blanche,1,,,,,,,,,,,,,,,,,,,,,,,,
